10.1002/adem.201600726
10.1002/adem.201700625
10.1002/adem.201700908
10.1002/adem.201800028
10.1002/adem.201800889
10.1002/adem.201801266
10.1002/adem.201900587
10.1002/adem.202100225
10.1002/adem.202100564
10.1002/adem.202100765
10.1002/adem.202100921
10.1002/adem.202101248
10.1002/adem.202101626
10.1002/adem.202200523
10.1002/adem.202201066
10.1002/adem.202201347
10.1002/adem.202201659
10.1002/adem.202300109
10.1002/adem.202300528
10.1002/adem.202300892
10.1002/adem.202301013
10.1002/adem.202401472
10.1002/adem.202402021
10.1002/adfm.202312856
10.1002/adma.201807142
10.1002/adma.202002619
10.1002/adma.202404192
10.1002/anie.202304510
10.1002/cey2.519
10.1002/mawe.202300263
10.1002/mdp2.175
10.1002/pssa.202000825
10.1002/pssa.202200592
10.1002/pssb.202400162
10.1002/srin.201500133
10.1002/srin.202400700
10.1007/s00161-021-00990-9
10.1007/s00170-020-05501-9
10.1007/s00170-020-05912-8
10.1007/s00170-023-11820-4
10.1007/s00339-019-2506-z
10.1007/s00339-019-3084-9
10.1007/s00339-020-04212-y
10.1007/s00339-021-04988-7
10.1007/s00339-021-05118-z
10.1007/s00339-023-06960-z
10.1007/s00339-024-08237-5
10.1007/s10338-022-00354-z
10.1007/s10853-019-04064-9
10.1007/s10853-020-05025-3
10.1007/s10853-021-06314-1
10.1007/s10853-022-07322-5
10.1007/s11431-017-9115-5
10.1007/s11431-021-1866-8
10.1007/s11431-023-2589-3
10.1007/s11661-017-4140-8
10.1007/s11661-017-4386-1
10.1007/s11661-020-05927-6
10.1007/s11661-020-05966-z
10.1007/s11661-021-06138-3
10.1007/s11661-021-06195-8
10.1007/s11661-022-06837-5
10.1007/s11661-023-07012-0
10.1007/s11665-015-1869-3
10.1007/s11665-016-2000-0
10.1007/s11665-016-2105-5
10.1007/s11665-017-2742-3
10.1007/s11665-017-2799-z
10.1007/s11665-017-3096-6
10.1007/s11665-018-3430-7
10.1007/s11665-018-3837-1
10.1007/s11665-019-04003-4
10.1007/s11665-019-04162-4
10.1007/s11665-019-04176-y
10.1007/s11665-019-04439-8
10.1007/s11665-019-04463-8
10.1007/s11665-020-05103-2
10.1007/s11665-021-05700-9
10.1007/s11665-021-05886-y
10.1007/s11665-021-06093-5
10.1007/s11665-021-06563-w
10.1007/s11665-021-06571-w
10.1007/s11665-022-06825-1
